alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788985266.5813,transparent,5126.4613612858,1785219297.724,"AS141071 PT Jembatan Data Pangrango",JEMBATANDATA-AS-ID,Bandung,Asia,AS,Indonesia,ID,,false,JEMBATANDATA,-6.9092,107.5934,false,,true,"West Java",success,Asia/Jakarta,40241,1788845080,1788985266.5813,8080,http,103.155.196.178:8080,false,464.40100669861,7494,25007,23.057752069167,103.155.196.178
true,1788985266.4421,transparent,5755.293733761,1787973249.8729,"AS28458 IENTC S DE RL DE CV","IENTC S DE RL DE CV","Lagos de Moreno","North America",NA,Mexico,MX,,false,"Ientc S De RL De CV",21.3582,-101.946,false,"GTT Americas",true,Jalisco,success,America/Mexico_City,47460,1788575513,1788985266.4421,999,http,206.135.12.152:999,false,10480.940341949,1220,5481,18.206237874944,206.135.12.152
true,1788985266.4318,elite,7310.5859229216,1787165788.8693,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1788979189,1788985266.4318,10929,http,111.119.162.248:10929,true,4314.7883415222,5165,10411,33.159989727786,111.119.162.248
true,1788985266.1052,transparent,6030.5939460282,1787985777.8655,"AS142386 PT JARINGAN LINTAS ARTHA",AZNET-ID,Colomadu,Asia,AS,Indonesia,ID,,false,"PT Jaringan Lintas Artha",-7.53333,110.75,false,,true,"Central Java",success,Asia/Jakarta,,1788589704,1788985266.1052,8080,http,45.198.11.177:8080,false,15363.719940186,1686,5444,23.646563814867,45.198.11.177
true,1788985192.7661,transparent,6075.430732498,1788123882.0113,"AS265583 SISTEMAS Y SOLUCIONES DE CAMPECHE SAS DE CV","SISTEMAS Y SOLUCIONES DE CAMPECHE SAS DE CV","Alfredo V. Bonfil","North America",NA,Mexico,MX,,false,"Sistemas Y Soluciones De Campeche SAS De CV",19.5289,-90.1815,false,"Sistemas Y Soluciones De Campeche SAS De CV",true,Campeche,success,America/Merida,,1788725864,1788985265.9998,999,http,45.174.242.128:999,false,7009.2408657074,2040,4430,31.530139103555,45.174.242.128
true,1788985129.2773,transparent,5946.593010285,1783253474.5174,"AS4808 China Unicom Beijing Province Network",CHINA169-BJ,Beijing,Asia,AS,China,CN,,false,"China Unicom Beijing Province Network",39.911,116.395,false,,true,Beijing,success,Asia/Shanghai,,1788695689,1788985265.8748,9000,http,123.112.240.170:9000,false,3344.8610305786,13488,38120,26.135482870873,123.112.240.170
true,1788985265.787,transparent,6688.5032333475,1710577927.2924,"AS37284 Aljeel Aljadeed For Technology",Aljeel-net,Tripoli,Africa,AF,Libya,LY,,false,"Aljeel Aljadeed For Technology",32.8908,13.1796,false,"Aljeel Aljadeed Technology",true,Tripoli,success,Africa/Tripoli,,1788424019,1788985265.787,1981,http,165.16.27.42:1981,false,11761.281013489,63787,655449,8.8687162489086,165.16.27.42
true,1788985265.206,elite,9172.9322949258,1788089201.8375,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,"Secured Servers LLC",true,Arizona,success,America/Phoenix,85001,1788690682,1788985265.206,35635,http,174.138.165.213:35635,false,6065.8373832703,404,4406,8.3991683991684,174.138.165.213
true,1788985091.039,transparent,6249.5338654676,1786392258.8531,"AS269730 TECNOVEN SERVICES CA","TECNOVEN SERVICES CA",Maracaibo,"South America",SA,Venezuela,VE,,false,"Tecnoven Services C.A",10.6423,-71.6109,false,"Tecnoven Services C.A",true,Zulia,success,America/Caracas,,1788808432,1788985264.5253,999,http,38.51.207.119:999,false,3986.664056778,10291,16332,38.654546820418,38.51.207.119
true,1788985263.9618,elite,13570.943571627,1788912593.6835,"AS20454 SECURED SERVERS LLC",SSASN2,Phoenix,"North America",NA,"United States",US,,true,"Secured Servers LLC",33.4532,-112.0748,false,"Secured Servers LLC",true,Arizona,success,America/Phoenix,85001,1788909565,1788985263.9618,32625,http,174.138.165.204:32625,false,14716.753959656,32,394,7.5117370892019,174.138.165.204
true,1788985263.8589,transparent,4424.9589622393,1762437341.5752,"AS46023 PT Quantum Tera Network",QUANTUMNET-AS-ID,"North Jakarta",Asia,AS,Indonesia,ID,,false,"Quantum Dist Cyber",-6.1804,106.9038,false,,true,Jakarta,success,Asia/Jakarta,14250,1788448203,1788985263.8589,8080,http,175.106.15.189:8080,false,4681.5383434296,45148,314930,12.538394458978,175.106.15.189
true,1788985051.9848,transparent,11487.476483907,1782099486.6238,"AS8560 IONOS SE",IONOS-AS,Paris,Europe,EU,France,FR,,true,"IONOS SE",48.8575,2.35138,false,"Fr Std Aem Ionos Cloud Live",true,Île-de-France,success,Europe/Paris,75000,1788752865,1788985263.2134,3128,http,87.106.120.212:3128,true,21549.191474915,20400,44252,31.553548227433,87.106.120.212
true,1788985262.5896,elite,5095.1558372038,1779117028.5154,"AS45766 Triangle Services Limited.",TRIANGLESERVICES,Dhaka,Asia,AS,Bangladesh,BD,Motijheel,false,"Md Ziaul Huque",23.7315,90.4111,false,,true,"Dhaka Division",success,Asia/Dhaka,1000,1788794343,1788985262.5896,14158,http,103.113.152.73:14158,false,10097.826004028,30326,63902,32.183639682472,103.113.152.73
true,1788985261.9248,elite,6001.4896946917,1754685025.4047,"AS45899 VNPT Corp",VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,false,"VietNam Post and Telecom Corporation",21.0184,105.8461,false,"Vietnam Posts and Telecommunications Group",true,Hanoi,success,Asia/Bangkok,100000,1788559702,1788985261.9248,1452,http,123.16.15.41:1452,false,15094.345092773,50956,360889,12.372615911326,123.16.15.41
true,1788985261.9049,elite,5654.3906531641,1788486985.6699,"AS50919 INTERWORKS Single Member S.A.",INTERWORKS-AS,Giannitsá,Europe,EU,Greece,GR,,false,"INTERWORKS Single Member S.A.",40.7919,22.4075,false,"Customer Beeasy",false,"Central Macedonia",success,Europe/Athens,,1788484163,1788985261.9049,666,http,188.164.201.197:666,false,2240.0717735291,838,2704,23.658949745906,188.164.201.197
